plant_id,company_id,TYPE,CAPACITY,name,carbon_2000,carbon_2007,carbon_nextdecade,energy_2000,energy_2007,energy_nextdecade,intensity_2000,intensity_2007,intensity_nextdecade,perc_cap,country,iso3,state,city_name,latitude,longitude
7445,ACCIONA ENERGIA,0,0,CATHEDRAL ROCKS,0,0,0,0,106323,106323,0,0,0,Oceania,Australia,AUS,South Australia,Port Lincoln,-34.73333,135.8667
50100,HYDRO TASMANIA,0,0,WOOLNORTH,0,0,0,0,104309,104309,0,0,0,Oceania,Australia,AUS,Tasmania,Bluff Point,0,0
18822,ERARING ENERGY,0,0,HUME,0,0,0,109453,101236,101236,0,0,0,Oceania,Australia,AUS,New South Wales,Albury,-36.08,146.91
6218,ATCO POWER AUSTRALIA,0,0,BULWER ISLAND REFINERY,51859,56842,59498,92164,100786,105274,1125,1128,1130,Oceania,Australia,AUS,Queensland,Pinkenba,-27.43333,153.1167
24932,HYDRO TASMANIA,0,0,LEMONTHYME,0,0,0,107349,99289,99289,0,0,0,Oceania,Australia,AUS,Tasmania,0,0,0
48938,ERARING ENERGY,0,0,WARRAGAMBA,0,0,0,105244,97342,97342,0,0,0,Oceania,Australia,AUS,New South Wales,0,0,0
46058,ENERGY DEVELOPMENTS LTD (EDL),0,0,TOWER COLLIERY,31201,34382,36263,88238,97021,102206,707,709,710,Oceania,Australia,AUS,New South Wales,Sydney,-33.87,151.21
24677,SMORGON STEEL GROUP LTD,0,0,LAVERTON STEEL MILL,47199,50743,52011,89547,96926,99578,1054,1047,1045,Oceania,Australia,AUS,Victoria,Laverton,-37.85,144.75
7426,HYDRO TASMANIA,0,0,CATAGUNYA,0,0,0,101034,93448,93448,0,0,0,Oceania,Australia,AUS,Tasmania,0,0,0
48663,HYDRO TASMANIA,0,0,WADDAMANA B,0,0,0,101034,93448,93448,0,0,0,Oceania,Australia,AUS,Tasmania,Waddamana,-42.13334,146.75
36247,ORIGIN ENERGY LTD,Gas Turbine,210,QUARANTINE,0,59285,150244,0,93011,253612,0,1275,1185,Oceania,Australia,AUS,South Australia,Torrens Island,0,0
34467,INCITEC PIVOT LTD,0,0,PHOSPHATE HILL,46428,51474,54997,84004,92610,98433,1105,1112,1117,Oceania,Australia,AUS,Queensland,Phosphate Hill,0,0
37872,ORIGIN ENERGY LTD,0,0,ROMA QUEENSLAND,50643,58402,66673,77961,90914,104866,1299,1285,1272,Oceania,Australia,AUS,Queensland,Roma,-26.57,148.78
25737,EXXON MOBIL CORP,0,0,LONGFORD GAS PLANT,51977,55844,57015,80046,86497,88460,1299,1291,1289,Oceania,Australia,AUS,Victoria,Longford,-38.16667,147.0833
2917,ALINTA ENERGY,Gas Turbine,92,BAIRNSDALE,0,54137,64998,0,84329,102714,0,1284,1266,Oceania,Australia,AUS,Victoria,Bairnsdale,-37.83,147.61
13488,HYDRO TASMANIA,0,0,FISHER,0,0,0,90931,84103,84103,0,0,0,Oceania,Australia,AUS,Tasmania,0,0,0
